"","NR_Name","NR_ID","sex","generation","father","mother","foster","gestational_diet","nursing_diet","weanling_diet","majority_diet","overall_diet","birth_date","death_date","litter_size","litter_order","notes","rbg100","rbg120","rbg140","rbg200","rbg300"
"579","T1478M",1980,"M",14,"T1185M","T1344F",NA,"Rod","Rod","Rab","Rab","Rab",2021-08-13,2022-05-20,3,1,NA,NA,NA,NA,NA,NA
"580","T1479F",1749,"F",13,"T1085M","T1191F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-13,2022-01-18,1,1,"daughter of T1191F; Resistant line? Based on few generations ago",16,16,NA,NA,NA
"581","T147F",309,"F",2,"T34M","T41F",NA,"Rod","Rod","Rod","Rod","Rod",2015-09-06,2016-04-22,5,1,"onset >32wks probably 36wks",28,28,28,28,NA
"582","T1481M",1521,"M",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2021-09-12,8,2,NA,NA,NA,NA,NA,NA
"583","T1482M",1522,"M",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2021-09-12,8,2,NA,NA,NA,NA,NA,NA
"584","T1483F",1523,"F",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-05-12,8,2,"daughter of T1163F",8,36,36,36,36
"585","T1484F",1524,"F",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-05-12,8,2,"daughter of T1163F",24,36,36,36,NA
"586","T1485F",1525,"F",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-05-22,8,2,"daughter of T1163F",24,NA,NA,NA,NA
"587","T1486F",1526,"F",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-05-12,8,2,"daughter of T1163F",36,36,36,36,NA
"588","T1487F",1527,"F",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-05-12,8,2,"daughter of T1163F",24,24,40,NA,NA
